nom_commercial,ar,quartier,etoiles,nb_chambres,lat,long
HÔTEL MONTSOURIS ORLÉANS,14,Observatoire,1,27,48.824068,2.330076
F1 PARIS PORTE DE CHATILLON,14,Observatoire,1,354,48.823131,2.316328
HÔTEL CLAIREFONTAINE,14,Observatoire,3,22,48.835972,2.32534
HÔTEL RENOIR,14,Observatoire,3,27,48.842692,2.326198
HÔTEL ESPÉRANCE,14,Observatoire,1,15,48.838745,2.322923
HÔTEL UNIC RENOIR SAINT GERMAIN,14,Observatoire,3,45,48.841992,2.325384
HÔTEL DU PARC,14,Observatoire,3,36,48.84075,2.324355
HÔTEL MONTPARNASSE SAINT-GERMAIN,14,Observatoire,3,28,48.842412,2.323456
HÔTEL EDGAR QUINET,14,Observatoire,2,17,48.841183,2.324056
LE FABE HÔTEL,14,Observatoire,3,17,48.833886,2.315196
HÔTEL RASPAIL MONTPARNASSE,14,Observatoire,3,38,48.841501,2.330046
LE NOUVEL HÔTEL DU THÉÂTRE,14,Observatoire,3,9,48.839532,2.322518
HÔTEL MISTRAL,14,Observatoire,3,37,48.836887,2.323838
LE 55 MONTPARNASSE HÔTEL,14,Observatoire,3,40,48.833583,2.31776
HÔTEL DU MAINE,14,Observatoire,2,31,48.835382,2.323137
TIMHÔTEL TOUR MONTPARNASSE,14,Observatoire,3,48,48.840239,2.324142
PETIT PALACE HÔTEL,14,Observatoire,2,41,48.83484,2.324273
LE GLAM’S HÔTEL,14,Observatoire,3,27,48.824512,2.327212
HÔTEL VIRGINA,14,Observatoire,3,55,48.823978,2.327458
HÔTEL IBIS PARIS ALÉSIA MONTPARNASSE,14,Observatoire,3,264,48.827428,2.320941
HÔTEL DE BLOIS,14,Observatoire,2,27,48.831836,2.324672
HÔTEL CHATILLON MONTPARNASSE,14,Observatoire,3,31,48.825684,2.323212
HÔTEL VILLA DU MAINE,14,Observatoire,2,39,48.827249,2.315992
HÔTEL ISTRIA,14,Observatoire,3,26,48.839071,2.331618
HOTEL DE LA GAÎTÉ - HÔTEL NEW PARNASSE,14,Observatoire,3,28,48.8395,2.322863
HÔTEL DELAMBRE,14,Observatoire,3,30,48.841346,2.326042
CENTRAL HÔTEL PARIS,14,Observatoire,3,44,48.840502,2.32381
HÔTEL SOPHIE GERMAIN,14,Observatoire,3,32,48.83097,2.330606
HÔTEL NOVOTEL SUITES PARIS EXPO PORTE DE VERSAILLES,14,Observatoire,4,99,48.827653,2.304608
HÔTEL WALDORF MONTPARNASSE,14,Observatoire,3,30,48.842534,2.3236
HÔTEL DU PARC MONTSOURIS,14,Observatoire,3,35,48.822362,2.334543
HÔTEL IBIS BUDGET PARIS PORTE D’ORLÉANS,14,Observatoire,2,171,48.819868,2.325268
HÔTEL DE LA LOIRE,14,Observatoire,2,18,48.830199,2.322148
HÔTEL LE CLOS D'ALÉSIA,14,Observatoire,3,26,48.826143,2.324421
TIPI  HÔTEL,14,Observatoire,2,33,48.835472,2.325352
HÔTEL APOLLON MONTPARNASSE,14,Observatoire,3,33,48.834786,2.317017
HOTEL RESTAURANT LE MYOSOTIS,14,Observatoire,2,15,48.826767,2.332434
HÔTEL LENOX MONTPARNASSE,14,Observatoire,3,52,48.841581,2.32778
HÔTEL DE LA PAIX,14,Observatoire,3,39,48.840092,2.330583
HÔTEL AVIATIC,14,Observatoire,1,31,48.83112,2.328445
HÔTEL TERMINUS ORLÉANS,14,Observatoire,2,67,48.823593,2.324743
HÔTEL BEST WESTERN NOUVEL ORLÉANS,14,Observatoire,4,42,48.831038,2.32992
HÔTEL CAMPANILE MAINE MONTPARNASSE,14,Observatoire,3,91,48.834378,2.323944
OASIS MONTPARNASSE HÔTEL,14,Observatoire,2,11,48.833732,2.317863
HÔTEL MONTPARNASSE DAGUERRE,14,Observatoire,3,30,48.836034,2.324158
FRED HÔTEL,14,Observatoire,3,36,48.83221,2.316373
HÔTEL TRANSCONTINENTAL,14,Observatoire,2,40,48.833507,2.324814
HÔTEL DU MOULIN VERT,14,Observatoire,2,28,48.831458,2.319709
LA MAISON MONTPARNASSE,14,Observatoire,2,36,48.832541,2.316911
HÔTEL HELZEAR MONTPARNASSE RIVE GAUCHE,14,Observatoire,4,14,48.83459,2.325441
HÔTEL IBIS STYLES PARIS ALÉSIA MONTPARNASSE,14,Observatoire,3,47,48.830452,2.323547
HÔTEL PULLMAN PARIS MONTPARNASSE,14,Observatoire,4,957,48.83854,2.320327
HÔTEL MERCURE PARIS GARE MONTPARNASSE,14,Observatoire,4,185,48.839818,2.323587
PARC HÔTEL PARIS,14,Observatoire,3,24,48.824669,2.326796
HÔTEL AGENOR,14,Observatoire,3,19,48.836825,2.323979
HÔTEL MERCURE PARIS MONTPARNASSE RASPAIL,14,Observatoire,4,63,48.841205,2.330156
HÔTEL IBIS PARIS MAINE MONTPARNASSE,14,Observatoire,3,102,48.83376,2.322964
HÔTEL BOB,14,Observatoire,4,45,48.833464,2.319047
HÔTEL DE L'ORCHIDÉE,14,Observatoire,3,41,48.835804,2.318862
HÔTEL ACROPOLE,14,Observatoire,3,43,48.823394,2.325103
HÔTEL ATELIER MONTPARNASSE,14,Observatoire,3,40,48.833362,2.31691
HÔTEL MERCURE PARIS PLAZA PONT MIRABEAU,15,Vaugirard,4,49,48.846089,2.278845
HÔTEL EIFFEL SEGUR,15,Vaugirard,3,33,48.846693,2.304981
HÔTEL KORNER MONTPARNASSE,15,Vaugirard,2,27,48.841227,2.313459
HÔTEL AU PACIFIC,15,Vaugirard,2,56,48.848677,2.291863
HÔTEL SPLENDID,15,Vaugirard,2,41,48.846835,2.296297
HÔTEL EIFFEL CAPITOL,15,Vaugirard,3,42,48.850495,2.291556
HÔTEL LE CARROSSE,15,Vaugirard,1,12,48.834829,2.284484
HÔTEL ALIZÉ GRENELLE TOUR EIFFEL,15,Vaugirard,3,50,48.846735,2.287725
HÔTEL AMIRAL FONDARY,15,Vaugirard,3,20,48.847801,2.293784
HÔTEL AVIA SAPHIR MONTPARNASSE,15,Vaugirard,3,40,48.843022,2.313163
HÔTEL IBIS PARIS GARE MONTPARNASSE,15,Vaugirard,3,31,48.840394,2.315458
HÔTEL LE BAILLI DE SUFREN,15,Vaugirard,3,25,48.846966,2.308013
HÔTEL HOME MODERNE,15,Vaugirard,3,63,48.832797,2.30367
HÔTEL MERCURE PARIS 15 PORTE DE VERSAILLES,15,Vaugirard,4,54,48.838389,2.290559
ABEROTEL MONTPARNASSE,15,Vaugirard,3,28,48.843263,2.307133
HÔTEL RELAIS SAINT CHARLES,15,Vaugirard,3,38,48.850294,2.293322
HÔTEL MÉDIAN PORTE DE VERSAILLES,15,Vaugirard,3,128,48.836649,2.276697
HÔTEL AJIEL,15,Vaugirard,3,60,48.835752,2.301936
TIMHOTEL GARE MONTPARNASSE,15,Vaugirard,3,77,48.842905,2.321213
HÔTEL IBIS PARIS TOUR MONTPARNASSE,15,Vaugirard,3,45,48.843465,2.320269
HÔTEL IBIS PARIS TOUR EIFFEL CAMBRONNE,15,Vaugirard,3,527,48.846887,2.301156
NOVOTEL PARIS VAUGIRARD MONTPARNASSE,15,Vaugirard,4,187,48.840112,2.303605
HÔTEL DÉLOS VAUGIRARD,15,Vaugirard,3,41,48.84131,2.302783
HÔTEL EIFFEL VILLA GARIBALDI,15,Vaugirard,3,23,48.846447,2.305838
HÔTEL AVENIR VAUGIRARD,15,Vaugirard,2,42,48.836326,2.294701
HÔTEL AUGUSTE,15,Vaugirard,3,23,48.837849,2.296173
HÔTEL CLARISSE,15,Vaugirard,2,27,48.82896,2.300522
HÔTEL PRINTANIA PORTE DE VERSAILLES,15,Vaugirard,2,21,48.834068,2.295377
HÔTEL AURIANE PORTE DE VERSAILLES,15,Vaugirard,3,32,48.83409,2.295174
HÔTEL CAMÉLIA,15,Vaugirard,2,24,48.842503,2.312479
HÔTEL VIC EIFFEL,15,Vaugirard,3,30,48.845297,2.309932
HÔTEL MIRAMAR,15,Vaugirard,3,37,48.842298,2.320259
HÔTEL MIRABEAU EIFFEL,15,Vaugirard,3,29,48.844071,2.27967
HÔTEL DE LA PAIX,15,Vaugirard,3,37,48.838715,2.288705
HÔTEL NOVOTEL PARIS GARE MONTPARNASSE,15,Vaugirard,4,199,48.838613,2.314679
HÔTEL LE MEDITEL,15,Vaugirard,3,49,48.842369,2.312714
HÔTEL FRANCE EIFFEL,15,Vaugirard,3,37,48.851557,2.289693
ART HOTEL EIFFEL,15,Vaugirard,3,36,48.848717,2.298325
HÔTEL CAMPANILE PARIS 15 TOUR EIFFEL,15,Vaugirard,2,76,48.850429,2.288774
HÔTEL EIFFEL DU PETIT LOUVRE,15,Vaugirard,3,52,48.850475,2.292315
HÔTEL SUBLIM EIFFEL,15,Vaugirard,3,19,48.84525,2.310102
PLATINE HÔTEL PARIS,15,Vaugirard,4,46,48.847394,2.283433
HÔTEL EIFFEL SEINE,15,Vaugirard,3,45,48.854359,2.289265
HÔTEL BEST WESTERN EIFFEL CAMBRONNE,15,Vaugirard,3,31,48.845828,2.298393
HÔTEL ALYSS SAPHIR CAMBRONNE EIFFEL,15,Vaugirard,3,30,48.845079,2.297339
TOURISME HÔTEL,15,Vaugirard,3,55,48.849505,2.29817
HÔTEL PULLMAN PARIS TOUR EIFFEL,15,Vaugirard,4,430,48.855865,2.293285
HÔTEL MERCURE PARIS PORTE DE VERSAILLES VAUGIRARD,15,Vaugirard,4,91,48.833065,2.287962
BEAUGRENELLE SAINT-CHARLES HÔTEL,15,Vaugirard,3,50,48.847211,2.285923
HÔTEL CONVENTION MONTPARNASSE,15,Vaugirard,3,37,48.837222,2.297133
TERMINUS VAUGIRARD,15,Vaugirard,3,89,48.833118,2.289212
HÔTEL EDEN,15,Vaugirard,4,37,48.840511,2.29912
HÔTEL SAPHIR GRENELLE,15,Vaugirard,3,32,48.848403,2.297026
HÔTEL TROYON,15,Vaugirard,2,33,48.835714,2.305832
HÔTEL EIFFEL SAINT CHARLES,15,Vaugirard,3,33,48.849841,2.288436
HÔTEL BEST WESTERN SÈVRES MONTPARNASSE,15,Vaugirard,4,29,48.843756,2.315568
HÔTEL MERCURE PARIS TOUR EIFFEL GRENELLE,15,Vaugirard,4,77,48.850506,2.292657
HÔTEL EIFFEL XV,15,Vaugirard,2,42,48.85034,2.290703
HÔTEL GRENELLE,15,Vaugirard,3,56,48.848561,2.298817
MERCURE PARIS CENTRE TOUR EIFFEL,15,Vaugirard,4,405,48.855412,2.292211
TIMHOTEL TOUR EIFFEL,15,Vaugirard,3,39,48.850164,2.292327
HÔTEL DE L'EXPOSITION TOUR EIFFEL,15,Vaugirard,3,36,48.848809,2.288121
HÔTEL CARINA,15,Vaugirard,3,29,48.848018,2.287157
HÔTEL LE PARISIS PARIS TOUR EIFFEL,15,Vaugirard,4,45,48.849575,2.295575
NOVOTEL PARIS CENTRE TOUR EIFFEL,15,Vaugirard,4,764,48.850094,2.283316
HÔTEL BEAUGRENELLE TOUR EIFFEL,15,Vaugirard,3,47,48.850275,2.290433
FIRST HÔTEL,15,Vaugirard,4,43,48.847519,2.302217
HÔTEL LE MARQUIS EIFFEL,15,Vaugirard,4,36,48.851663,2.297824
HÔTEL LECOURBE,15,Vaugirard,3,47,48.844502,2.308767
HÔTEL INNOVA,15,Vaugirard,2,51,48.842178,2.312737
HÔTEL YLLEN EIFFEL,15,Vaugirard,3,38,48.841501,2.307704
HÔTEL ARES EIFFEL,15,Vaugirard,4,40,48.850374,2.298221
HÔTEL IBIS STYLES PARIS EIFFEL CAMBRONNE,15,Vaugirard,3,50,48.847997,2.300644
HÔTEL LILAS BLANC,15,Vaugirard,2,32,48.848326,2.298284
QUALITY HÔTEL ABACA MESSIDOR,15,Vaugirard,3,70,48.836849,2.295497
PORTE DE VERSAILLES HÔTEL,15,Vaugirard,3,35,48.835141,2.282514
HÔTEL VAL GIRARD,15,Vaugirard,3,38,48.8408,2.299285
LUTÈCE HÔTEL,15,Vaugirard,2,37,48.835785,2.292332
HÔTEL DE L'AVRE,15,Vaugirard,3,26,48.847822,2.297636
HÔTEL HOLIDAY INN PARIS MONTPARNASSE PASTEUR,15,Vaugirard,4,60,48.837663,2.306326
HÔTEL IBIS STYLES PARIS 15 LECOURBE,15,Vaugirard,3,49,48.838835,2.289504
HÔTEL IBIS PARIS PORTE DE BRANCION PARC DES EXPOSITIONS 15E,15,Vaugirard,3,69,48.830331,2.302044
HÔTEL DU PARC SAINT CHARLES,15,Vaugirard,2,15,48.837218,2.277495
HÔTEL KORNER EIFFEL,15,Vaugirard,2,35,48.846579,2.288572
HÔTEL PRINTEMPS,15,Vaugirard,1,51,48.847538,2.296444
BEST WESTERN HÔTEL MONTCALM,15,Vaugirard,3,41,48.840896,2.287107
EUROPE HÔTEL PARIS,15,Vaugirard,3,37,48.849584,2.296963
HÔTEL IBIS PARIS CONVENTION 15ÈME,15,Vaugirard,3,48,48.835887,2.294978
HÔTEL AMIRAL,15,Vaugirard,2,30,48.841313,2.300979
NOUVEL HÔTEL EIFFEL,15,Vaugirard,3,36,48.843348,2.306748
VICE VERSA HÔTEL,15,Vaugirard,4,37,48.836374,2.2897
HÔTEL GUSTAVE,15,Vaugirard,4,32,48.850126,2.289063
HÔTEL CARLADEZ CAMBRONNE,15,Vaugirard,3,28,48.842096,2.303207
HÔTEL CACTUS,15,Vaugirard,2,32,48.839739,2.309344
HÔTEL BEST WESTERN AU TROCADERO,16,Passy,3,27,48.863779,2.286667
HÔTEL LE BELMONT,16,Passy,4,74,48.869351,2.297842
HÔTEL WALDORF TROCADÉRO,16,Passy,4,44,48.867234,2.287925
HÔTEL VICTOR HUGO PARIS KLÉBER,16,Passy,4,75,48.86913,2.289219
HÔTEL RÉSIDENCE FOCH,16,Passy,3,25,48.874234,2.2811
LE SINGULIER,16,Passy,3,8,48.866599,2.285315
HÔTEL WINDSOR HOME PARIS,16,Passy,3,8,48.860478,2.280048
VILLA DES AMBASSADEURS,16,Passy,3,17,48.865294,2.290509
JAYS PARIS,16,Passy,4,5,48.869062,2.290829
HÔTEL FÉLICIEN,16,Passy,4,34,48.849317,2.274273
HÔTEL RAPHAËL,16,Passy,5,83,48.871375,2.293574
L'HÔTEL PERGOLÈSE PARIS,16,Passy,4,40,48.875741,2.286338
HÔTEL DU BOIS,16,Passy,3,39,48.871741,2.290938
BEST WESTERN EIFFEL AUTEUIL,16,Passy,3,51,48.839389,2.263194
HÔTEL HOLIDAY INN PARIS AUTEUIL,16,Passy,3,46,48.837997,2.258497
HÔTEL KEPPLER,16,Passy,4,39,48.86985,2.297266
HÔTEL PLAZA TOUR EIFFEL,16,Passy,4,41,48.864486,2.282291
HÔTEL KLEBER CHAMPS ÉLYSÉES TOUR EIFFEL PARIS,16,Passy,3,23,48.868751,2.292095
HÔTEL MELIA PARIS CHAMPS-ELYSÉES,16,Passy,4,61,48.868761,2.282873
THE PENINSULA PARIS,16,Passy,5,200,48.871009,2.293316
HÔTEL SQUARE,16,Passy,5,22,48.851589,2.277727
HÔTEL MURAT,16,Passy,3,28,48.837407,2.258737
HÔTEL MONTFLEURI ARC DE TRIOMPHE,16,Passy,4,42,48.874794,2.290718
HÔTEL MOLITOR,16,Passy,5,124,48.844723,2.2523
HÔTEL D'ANGLETERRE ÉTOILE,16,Passy,2,29,48.869155,2.289009
TROCADÉRO LA TOUR BEST WESTERN PREMIER,16,Passy,4,41,48.858322,2.279488
HÔTEL AUTEUIL TOUR EIFFEL,16,Passy,4,94,48.85055,2.275279
HÔTEL AÉRO,16,Passy,3,14,48.857608,2.277921
HÔTEL MAISON FL,16,Passy,4,62,48.858831,2.284017
HÔTEL POUSSIN,16,Passy,3,27,48.848557,2.261219
RADISSON BLU LE MÉTROPOLITAN,16,Passy,4,48,48.8656,2.283401
MARCEAU CHAMPS ÉLYSÉES,16,Passy,3,35,48.86814,2.298751
QUEEN'S,16,Passy,3,17,48.848578,2.266168
HÔTEL ÉLYSÉES UNION,16,Passy,3,63,48.868347,2.291813
HÔTEL NICOLO,16,Passy,2,27,48.858179,2.280643
HÔTEL VILLA GLAMOUR,16,Passy,3,11,48.864554,2.277974
HÔTEL MAJESTIC VILLA & SPA,16,Passy,5,48,48.870346,2.293853
LE HAMEAU DE PASSY,16,Passy,2,32,48.857811,2.279801
HÔTEL EXELMANS,16,Passy,2,48,48.841399,2.262634
HÔTEL FLORIDE ÉTOILE,16,Passy,3,60,48.866253,2.287867
HÔTEL ÉLYSÉES REGENCIA,16,Passy,4,43,48.868663,2.298541
HÔTEL LA VILLA MAILLOT & SPA,16,Passy,4,42,48.875566,2.283657
HÔTEL RÉSIDENCE IMPERIALE,16,Passy,3,37,48.87618,2.283503
HÔTEL EIFFEL TROCADÉRO,16,Passy,4,17,48.861285,2.286343
HÔTEL GARDEN ÉLYSÉE,16,Passy,4,46,48.866245,2.288096
RADISSON BLU LE DOKHAN'S,16,Passy,5,55,48.866362,2.286743
HÔTEL BEAUSÉJOUR RANELAGH,16,Passy,3,30,48.855611,2.269739
HÔTEL BASSANO,16,Passy,4,33,48.869001,2.297188
HÔTEL ÉLYSÉES BASSANO,16,Passy,4,40,48.869538,2.297948
HÔTEL PASTEL,16,Passy,3,36,48.868338,2.289109
HÔTEL LES HAUTS DE PASSY,16,Passy,3,31,48.857229,2.278317
HÔTEL ROYAL ÉLYSÉES,16,Passy,4,35,48.872911,2.292671
HÔTEL RENAISSANCE LE PARC TROCADERO,16,Passy,5,122,48.867291,2.285769
HÔTEL PALAIS DE CHAILLOT,16,Passy,3,31,48.865761,2.286156
HÔTEL GAVARNI,16,Passy,3,25,48.858682,2.282736
HÔTEL HELZEAR CHAMPS-ELYSÉES,16,Passy,4,27,48.869169,2.298245
HÔTEL MERCURE PARIS CHAMPS ÉLYSÉES,16,Passy,4,46,48.870032,2.290857
HÔTEL LONGCHAMP ÉLYSÉES,16,Passy,3,19,48.865251,2.285654
MONHÔTEL LOUNGE & SPA,16,Passy,4,50,48.874308,2.289703
HÔTEL CHAMBELLAN MORGANE,16,Passy,3,20,48.869739,2.297444
SHANGRI-LA HÔTEL PARIS,16,Passy,5,101,48.863773,2.293222
HÔTEL DE SÉVIGNÉ,16,Passy,3,30,48.868799,2.292423
HÔTEL EIFFEL KENNEDY,16,Passy,3,30,48.852999,2.275899
HÔTEL BOILEAU,16,Passy,3,31,48.840748,2.262406
HÔTEL DURET,16,Passy,4,27,48.875273,2.286576
HÔTEL JEAN GABRIEL MONTMARTRE,17,Batignolles-Monceau,3,28,48.884003,2.325378
HÔTEL BEST WESTERN STAR CHAMPS ELYSEES,17,Batignolles-Monceau,3,62,48.877154,2.293621
HÔTEL RÉSIDENCE VILLIERS,17,Batignolles-Monceau,2,30,48.883828,2.305419
LE CHAMPERRET HÉLIOPOLIS,17,Batignolles-Monceau,3,22,48.885106,2.293676
HÔTEL DES DEUX AVENUES,17,Batignolles-Monceau,3,38,48.879882,2.298683
HÔTEL LE MAGELLAN,17,Batignolles-Monceau,3,72,48.88336,2.29246
HÔTEL REGENT S GARDEN,17,Batignolles-Monceau,4,40,48.879889,2.291832
HÔTEL MONCEAU WAGRAM,17,Batignolles-Monceau,4,25,48.8809,2.298983
HÔTEL DARCET,17,Batignolles-Monceau,2,32,48.883451,2.325279
HÔTEL NATION MONTMARTRE,17,Batignolles-Monceau,1,32,48.876167,2.296258
HÔTEL SPLENDOR,17,Batignolles-Monceau,3,24,48.882277,2.305019
HÔTEL ÉLYSÉES FLAUBERT,17,Batignolles-Monceau,3,40,48.88149,2.298185
HÔTEL DE CABOURG,17,Batignolles-Monceau,2,36,48.883064,2.323042
HÔTEL FLORIDOR ÉTOILE,17,Batignolles-Monceau,2,31,48.878534,2.293925
BEST WESTERN EMPIRE ÉLYSÉES,17,Batignolles-Monceau,3,44,48.877925,2.295512
HÔTEL LE 10BIS,17,Batignolles-Monceau,4,23,48.878012,2.286502
121 PARIS HÔTEL,17,Batignolles-Monceau,3,31,48.889967,2.321005
HÔTEL MERCURE PARIS ARC DE TRIOMPHE WAGRAM,17,Batignolles-Monceau,4,43,48.87607,2.296168
HÔTEL MEDIAN PARIS CONGRÈS,17,Batignolles-Monceau,3,170,48.896194,2.308335
AC HÔTEL PARIS PORTE MAILLOT,17,Batignolles-Monceau,4,149,48.882081,2.282141
HÔTEL WESTSIDE ARC DE TRIOMPHE,17,Batignolles-Monceau,4,44,48.881258,2.294738
VILLA ALESSANDRA,17,Batignolles-Monceau,4,49,48.87938,2.295986
HÔTEL ÉTOILE PARK,17,Batignolles-Monceau,3,28,48.876095,2.294904
HÔTEL AMBASSADEUR,17,Batignolles-Monceau,3,85,48.890646,2.324591
HÔTEL L'ADRESSE,17,Batignolles-Monceau,4,23,48.878004,2.285324
HÔTEL JARDIN DE VILLIERS,17,Batignolles-Monceau,3,26,48.884047,2.314992
HÔTEL COSY MOCEAU,17,Batignolles-Monceau,2,18,48.886131,2.310423
HÔTEL MERCURE PARIS ARC DE TRIOMPHE ÉTOILE,17,Batignolles-Monceau,4,54,48.878295,2.294975
HÔTEL ARC DE TRIOMPHE ÉTOILE,17,Batignolles-Monceau,3,27,48.87654,2.296404
HÔTEL DES PAVILLONS,17,Batignolles-Monceau,2,27,48.876401,2.290601
HÔTEL ACACIAS ÉTOILE,17,Batignolles-Monceau,3,36,48.876598,2.290786
HÔTEL B SQUARE,17,Batignolles-Monceau,3,32,48.883803,2.322611
HÔTEL RIVIERA,17,Batignolles-Monceau,3,21,48.878268,2.293947
HÔTEL TILSITT ÉTOILE,17,Batignolles-Monceau,3,38,48.876984,2.29504
HÔTEL PRINCESSE CAROLINE,17,Batignolles-Monceau,3,53,48.875632,2.2957
HÔTEL MÉDÉRIC,17,Batignolles-Monceau,2,28,48.880173,2.30255
HÔTEL HYATT REGENCY PARIS ETOILE,17,Batignolles-Monceau,4,950,48.879983,2.284097
HÔTEL SAINT-CYR ÉTOILE,17,Batignolles-Monceau,3,31,48.88046,2.285555
HÔTEL PARIS LÉCLUSE,17,Batignolles-Monceau,3,20,48.884165,2.325298
HÔTEL LE VILLIERS,17,Batignolles-Monceau,2,26,48.885287,2.293367
HÔTEL ASTRID,17,Batignolles-Monceau,3,40,48.876796,2.292068
HÔTEL FERTEL ÉTOILE,17,Batignolles-Monceau,3,51,48.876114,2.289864
HÔTEL CHAMPERRET ÉLYSÉES,17,Batignolles-Monceau,3,45,48.885211,2.293968
HÔTEL MERCURE PARIS SAINT-LAZARE MONCEAU,17,Batignolles-Monceau,4,51,48.883829,2.318524
HÔTEL CENTRE VILLE ÉTOILE,17,Batignolles-Monceau,3,15,48.876151,2.289966
HÔTEL MAGDA CHAMPS ELYSEES,17,Batignolles-Monceau,3,37,48.875999,2.295266
HÔTEL LE MÉRIDIEN ÉTOILE,17,Batignolles-Monceau,4,1025,48.879465,2.284955
HÔTEL GASTON,17,Batignolles-Monceau,3,43,48.887492,2.307959
HÔTEL ÉTOILE SAINT FERDINAND,17,Batignolles-Monceau,4,42,48.877742,2.287311
HÔTEL MIRIFIC,17,Batignolles-Monceau,3,65,48.889902,2.321115
HÔTEL TIMHOTEL PARIS XVII,17,Batignolles-Monceau,3,252,48.894224,2.312493
HÔTEL MONCEAU ÉTOILE,17,Batignolles-Monceau,3,28,48.88406,2.313252
HÔTEL PRINCE MONCEAU,17,Batignolles-Monceau,3,26,48.886797,2.313792
HÔTEL COURCELLES ÉTOILE,17,Batignolles-Monceau,3,40,48.884449,2.297979
HÔTEL IBIS PARIS 17 CLICHY-BATIGNOLLES,17,Batignolles-Monceau,3,688,48.891923,2.315728
HÔTEL DE PARIS MONTMARTRE,17,Batignolles-Monceau,2,30,48.884541,2.325842
HÔTEL BEAUSÉJOUR MONTMARTRE,17,Batignolles-Monceau,4,36,48.88367,2.325716
HÔTEL RÉSIDENCE DES DEUX SQUARES,17,Batignolles-Monceau,1,47,48.89335,2.325197
HÔTEL DU MONT DORE,17,Batignolles-Monceau,3,25,48.883712,2.322734
HÔTEL BERTHA,17,Batignolles-Monceau,1,28,48.883336,2.325179
HÔTEL EXCELSIOR BATIGNOLLES,17,Batignolles-Monceau,3,23,48.883581,2.323571
HÔTEL BALMORAL,17,Batignolles-Monceau,4,50,48.876021,2.293878
HÔTEL TIVOLI,17,Batignolles-Monceau,3,30,48.87621,2.295996
HÔTEL CÉCILIA,17,Batignolles-Monceau,3,49,48.875856,2.294411
HÔTEL STELLA,17,Batignolles-Monceau,3,35,48.876324,2.293123
HÔTEL AMPERE,17,Batignolles-Monceau,4,97,48.884785,2.299674
HÔTEL LE TRENTE,17,Batignolles-Monceau,3,31,48.888265,2.319646
HÔTEL CHAMPS ÉLYSÉES MAC MAHON,17,Batignolles-Monceau,5,40,48.87545,2.294484
L'EDMOND HÔTEL,17,Batignolles-Monceau,4,23,48.882179,2.313192
PHENIX HÔTEL,17,Batignolles-Monceau,2,34,48.876164,2.293816
HÔTEL NOVOTEL PARIS 17 PORTE D'ASNIÈRES,17,Batignolles-Monceau,4,140,48.891785,2.302006
HÔTEL DE BANVILLE,17,Batignolles-Monceau,4,38,48.886411,2.294925
HÔTEL ABRIAL,17,Batignolles-Monceau,3,80,48.890477,2.31749
HÔTEL PRINCE ALBERT WAGRAM,17,Batignolles-Monceau,3,33,48.886504,2.312332
HÔTEL AMARANTE ARC DE TRIOMPHE,17,Batignolles-Monceau,4,50,48.882812,2.298166
HÔTEL WAGRAM,17,Batignolles-Monceau,1,18,48.878714,2.29603
HÔTEL LE MIREILLE,17,Batignolles-Monceau,3,31,48.891289,2.324588
HÔTEL BEST WESTERN OPÉRA BATIGNOLLES,17,Batignolles-Monceau,4,44,48.887118,2.314405
HÔTEL PAVILLON MONCEAU,17,Batignolles-Monceau,3,42,48.885339,2.307925
HÔTEL SPLENDID ÉTOILE,17,Batignolles-Monceau,4,57,48.874845,2.293983
HÔTEL LES JARDINS DE LA VILLA,17,Batignolles-Monceau,4,33,48.880213,2.28594
HÔTEL ÉTOILE PEREIRE,17,Batignolles-Monceau,3,26,48.883538,2.294099
VILLA EUGÉNIE,17,Batignolles-Monceau,4,41,48.887173,2.314262
VILLA BRUNEL,17,Batignolles-Monceau,3,32,48.87922,2.287614
HÔTEL BELFAST,17,Batignolles-Monceau,4,54,48.875596,2.293737
LE TSUBA HÔTEL,17,Batignolles-Monceau,4,82,48.877739,2.293232
HÔTEL NEVA,17,Batignolles-Monceau,3,31,48.876529,2.295811
HÔTEL LA VILLA DES TERNES,17,Batignolles-Monceau,4,39,48.88039,2.28586
HÔTEL ROYAL WAGRAM,17,Batignolles-Monceau,2,23,48.883606,2.296055
PAVILLON VILLIERS ÉTOILE,17,Batignolles-Monceau,3,55,48.883606,2.316285
HÔTEL BEST WESTERN DE NEUVILLE,17,Batignolles-Monceau,4,28,48.88689,2.300473
HÔTEL PLAZA ÉTOILE,17,Batignolles-Monceau,3,33,48.876066,2.296409
ART HÔTEL BATIGNOLLES,17,Batignolles-Monceau,3,29,48.888003,2.32097
ART HÔTEL CONGRES,17,Batignolles-Monceau,3,41,48.89292,2.321568
HÔTEL MÉRIDIONAL,17,Batignolles-Monceau,3,37,48.890003,2.323266
HÔTEL DE LA FÉLICITÉ,17,Batignolles-Monceau,3,23,48.887569,2.311066
HÔTEL PARIS LEGENDRE,17,Batignolles-Monceau,2,32,48.890416,2.324294
HÔTEL DES BATIGNOLLES,17,Batignolles-Monceau,3,46,48.884933,2.321081
HÔTEL ELYSÉE ETOILE,17,Batignolles-Monceau,2,18,48.876629,2.296274
HÔTEL ARMONI,17,Batignolles-Monceau,3,45,48.88515,2.293043
HÔTEL NIEL,17,Batignolles-Monceau,3,38,48.879624,2.296123
HÔTEL FERTEL MAILLOT,17,Batignolles-Monceau,3,35,48.878157,2.285241
HÔTEL HIDDEN,17,Batignolles-Monceau,4,35,48.877528,2.293417
